srcidx,srchost,src_address,dstidx,dsthost,dst_address
32,S8,11000111110101000001100010101101,1,S6,10000011110010101111000010010110
0,S1,00001010000010000000100010110010,17,S8,11011000001110101101000000100011
33,S10,01101100101011110010011111001010,1,S6,10000011110010101111000010010110
11,S6,00001010000010000000100010001010,9,S9,11010000011101011111101101110100
1,S6,10000011110010101111000010010110,41,S8,11000111110101000001100010101111
23,S10,00001010000010000000100001101110,30,S6,00111111111101011101100010000110
12,S5,10101101111111000110010000011011,4,S2,10000011110010101111000011110010
34,S10,01000000111010011011100000010000,23,S10,00001010000010000000100001101110
35,S7,10101101110000100100001110111101,0,S1,00001010000010000000100010110010
34,S10,01000000111010011011100000010000,23,S10,00001010000010000000100001101110
9,S9,11010000011101011111101101110100,11,S6,00001010000010000000100010001010
6,S8,10000011110010101111000001010111,8,S2,10000110101010100001001101111100
5,S2,00001010000010000000100010000010,37,S3,11011000001110101101001000000011
0,S1,00001010000010000000100010110010,12,S5,10101101111111000110010000011011
36,S5,11001101101111000000110001011011,6,S8,10000011110010101111000001010111
37,S3,11011000001110101101001000000011,5,S2,00001010000010000000100010000010
38,S2,01000100010000111001100110010010,6,S8,10000011110010101111000001010111
37,S3,11011000001110101101001000000011,5,S2,00001010000010000000100010000010
39,S3,10101101110000101100001000010000,14,S4,00001010000000000000001000001111
40,S7,10011101001110000111111010111100,4,S2,10000011110010101111000011110010
21,S2,00001010000010000000100011101010,18,S8,01001010011111011000010100010000
41,S8,11000111110101000001100010101111,1,S6,10000011110010101111000010010110
27,S7,01000000111010011011011100010000,14,S4,00001010000000000000001000001111
4,S2,10000011110010101111000011110010,75,S5,01000100010000111001100100000010
42,S8,10101101110000101100010000010000,4,S2,10000011110010101111000011110010
43,S7,01001010011111010100010100010000,6,S8,10000011110010101111000001010111
24,S10,00000010000111100111010000110110,5,S2,00001010000010000000100010000010
44,S10,01010110000001001101010011100100,0,S1,00001010000010000000100010110010
45,S4,01000100010000111011000000101010,6,S8,10000011110010101111000001010111
9,S9,11010000011101011111101101110100,11,S6,00001010000010000000100010001010
46,S5,11000111110101000001100010101100,1,S6,10000011110010101111000010010110
0,S1,00001010000010000000100010110010,76,S8,11011000001110101101001000101110
0,S1,00001010000010000000100010110010,35,S7,10101101110000100100001110111101
6,S8,10000011110010101111000001010111,12,S5,10101101111111000110010000011011
5,S2,00001010000010000000100010000010,31,S9,10011101001110001100000000110101
9,S9,11010000011101011111101101110100,11,S6,00001010000010000000100010001010
1,S6,10000011110010101111000010010110,91,S9,00010111001100100100101100011011
41,S8,11000111110101000001100010101111,1,S6,10000011110010101111000010010110
47,S9,10101101110000100100001100010000,21,S2,00001010000010000000100011101010
48,S2,01101100101011110010101010110101,1,S6,10000011110010101111000010010110
49,S8,10000011110010100000011000011010,6,S8,10000011110010101111000001010111
50,S1,10001001011101011011000100100001,0,S1,00001010000010000000100010110010
51,S7,10110010111011010001000101100111,0,S1,00001010000010000000100010110010
7,S8,11011000001110101101101111100110,1,S6,10000011110010101111000010010110
1,S6,10000011110010101111000010010110,78,S5,11000111110101000001100010101110
52,S4,10101101110000100001010001101011,1,S6,10000011110010101111000010010110
53,S10,11001100010100111001101110101001,14,S4,00001010000000000000001000001111
54,S9,11011000001110101101001000100011,0,S1,00001010000010000000100010110010
55,S6,00010111111010110010100010001111,1,S6,10000011110010101111000010010110
42,S8,10101101110000101100010000010000,4,S2,10000011110010101111000011110010
1,S6,10000011110010101111000010010110,32,S8,11000111110101000001100010101101
56,S10,01001010011111010100011000010000,4,S2,10000011110010101111000011110010
43,S7,01001010011111010100010100010000,6,S8,10000011110010101111000001010111
5,S2,00001010000010000000100010000010,62,S2,11001101101111000000110000101011
1,S6,10000011110010101111000010010110,16,S1,11010001100101001100110100100011
57,S1,01101100101011110010101110010010,1,S6,10000011110010101111000010010110
5,S2,00001010000010000000100010000010,20,S3,10110010111011010001001011001010
58,S3,01101100101011110010101110100001,1,S6,10000011110010101111000010010110
11,S6,00001010000010000000100010001010,9,S9,11010000011101011111101101110100
59,S7,10011101001110000011010000001101,0,S1,00001010000010000000100010110010
1,S6,10000011110010101111000010010110,32,S8,11000111110101000001100010101101
60,S2,11010000011101100111110100110110,6,S8,10000011110010101111000001010111
0,S1,00001010000010000000100010110010,54,S9,11011000001110101101001000100011
61,S6,01000100010000111001100111010011,4,S2,10000011110010101111000011110010
5,S2,00001010000010000000100010000010,92,S6,00000010011001011101111011100111
62,S2,11001101101111000000110000101011,4,S2,10000011110010101111000011110010
63,S5,10101101110000100100111010111101,5,S2,00001010000010000000100010000010
5,S2,00001010000010000000100010000010,44,S10,01010110000001001101010011100100
44,S10,01010110000001001101010011100100,5,S2,00001010000010000000100010000010
6,S8,10000011110010101111000001010111,93,S4,01001010011111011000011010111100
64,S6,01000110010100000001100101100101,14,S4,00001010000000000000001000001111
36,S5,11001101101111000000110001011011,0,S1,00001010000010000000100010110010
23,S10,00001010000010000000100001101110,34,S10,01000000111010011011100000010000
4,S2,10000011110010101111000011110010,20,S3,10110010111011010001001011001010
14,S4,00001010000000000000001000001111,10,S6,01001010011111011100111100010000
0,S1,00001010000010000000100010110010,15,S9,11011000001110101101000000101110
6,S8,10000011110010101111000001010111,51,S7,10110010111011010001000101100111
1,S6,10000011110010101111000010010110,94,S6,11010001100101001100110100010000
1,S6,10000011110010101111000010010110,41,S8,11000111110101000001100010101111
11,S6,00001010000010000000100010001010,16,S1,11010001100101001100110100100011
11,S6,00001010000010000000100010001010,9,S9,11010000011101011111101101110100
13,S8,11010001100101001100110100101001,1,S6,10000011110010101111000010010110
0,S1,00001010000010000000100010110010,70,S7,11011000001110101101001001001110
6,S8,10000011110010101111000001010111,36,S5,11001101101111000000110001011011
47,S9,10101101110000100100001100010000,21,S2,00001010000010000000100011101010
65,S2,01001010011111010100011100010000,21,S2,00001010000010000000100011101010
47,S9,10101101110000100100001100010000,21,S2,00001010000010000000100011101010
66,S7,11011000001110101101101111101110,1,S6,10000011110010101111000010010110
0,S1,00001010000010000000100010110010,95,S10,10101101110000100100001101011110
9,S9,11010000011101011111101101110100,11,S6,00001010000010000000100010001010
67,S1,10001110000000010010000100000010,14,S4,00001010000000000000001000001111
29,S5,11011000001110101101101111001110,1,S6,10000011110010101111000010010110
34,S10,01000000111010011011100000010000,23,S10,00001010000010000000100001101110
1,S6,10000011110010101111000010010110,13,S8,11010001100101001100110100101001
68,S1,01001010011111011100101000010000,6,S8,10000011110010101111000001010111
10,S6,01001010011111011100111100010000,14,S4,00001010000000000000001000001111
4,S2,10000011110010101111000011110010,42,S8,10101101110000101100010000010000
59,S7,10011101001110000011010000001101,14,S4,00001010000000000000001000001111
53,S10,11001100010100111001101110101001,14,S4,00001010000000000000001000001111
69,S2,10101101110000100100111000010000,14,S4,00001010000000000000001000001111
10,S6,01001010011111011100111100010000,14,S4,00001010000000000000001000001111
1,S6,10000011110010101111000010010110,96,S1,10111000010010011111110010110011
70,S7,11011000001110101101001001001110,0,S1,00001010000010000000100010110010
10,S6,01001010011111011100111100010000,14,S4,00001010000000000000001000001111
18,S8,01001010011111011000010100010000,21,S2,00001010000010000000100011101010
34,S10,01000000111010011011100000010000,23,S10,00001010000010000000100001101110
6,S8,10000011110010101111000001010111,68,S1,01001010011111011100101000010000
47,S9,10101101110000100100001100010000,21,S2,00001010000010000000100011101010
65,S2,01001010011111010100011100010000,14,S4,00001010000000000000001000001111
62,S2,11001101101111000000110000101011,5,S2,00001010000010000000100010000010
6,S8,10000011110010101111000001010111,16,S1,11010001100101001100110100100011
71,S6,01000101101011001101100000110111,4,S2,10000011110010101111000011110010
21,S2,00001010000010000000100011101010,18,S8,01001010011111011000010100010000
14,S4,00001010000000000000001000001111,10,S6,01001010011111011100111100010000
14,S4,00001010000000000000001000001111,27,S7,01000000111010011011011100010000
11,S6,00001010000010000000100010001010,2,S9,10111001000000101101110010001001
4,S2,10000011110010101111000011110010,42,S8,10101101110000101100010000010000
42,S8,10101101110000101100010000010000,4,S2,10000011110010101111000011110010
72,S10,10001001011101000010000001001101,14,S4,00001010000000000000001000001111
34,S10,01000000111010011011100000010000,21,S2,00001010000010000000100011101010
42,S8,10101101110000101100010000010000,4,S2,10000011110010101111000011110010
14,S4,00001010000000000000001000001111,65,S2,01001010011111010100011100010000
0,S1,00001010000010000000100010110010,82,S8,00010111110000001010001010111010
21,S2,00001010000010000000100011101010,47,S9,10101101110000100100001100010000
10,S6,01001010011111011100111100010000,14,S4,00001010000000000000001000001111
9,S9,11010000011101011111101101110100,11,S6,00001010000010000000100010001010
73,S3,01011011101111101101100001111101,5,S2,00001010000010000000100010000010
20,S3,10110010111011010001001011001010,4,S2,10000011110010101111000011110010
10,S6,01001010011111011100111100010000,14,S4,00001010000000000000001000001111
1,S6,10000011110010101111000010010110,41,S8,11000111110101000001100010101111
13,S8,11010001100101001100110100101001,11,S6,00001010000010000000100010001010
14,S4,00001010000000000000001000001111,53,S10,11001100010100111001101110101001
74,S6,10101101110000100111101101111100,4,S2,10000011110010101111000011110010
10,S6,01001010011111011100111100010000,14,S4,00001010000000000000001000001111
9,S9,11010000011101011111101101110100,11,S6,00001010000010000000100010001010
6,S8,10000011110010101111000001010111,68,S1,01001010011111011100101000010000
4,S2,10000011110010101111000011110010,71,S6,01000101101011001101100000110111
37,S3,11011000001110101101001000000011,5,S2,00001010000010000000100010000010
6,S8,10000011110010101111000001010111,97,S6,01000100010000111001100100101000
6,S8,10000011110010101111000001010111,98,S2,01000000000011000001101101000001
6,S8,10000011110010101111000001010111,99,S9,01000001001101110000001000000110
6,S8,10000011110010101111000001010111,43,S7,01001010011111010100010100010000
14,S4,00001010000000000000001000001111,15,S9,11011000001110101101000000101110
47,S9,10101101110000100100001100010000,21,S2,00001010000010000000100011101010
43,S7,01001010011111010100010100010000,6,S8,10000011110010101111000001010111
1,S6,10000011110010101111000010010110,41,S8,11000111110101000001100010101111
15,S9,11011000001110101101000000101110,23,S10,00001010000010000000100001101110
75,S5,01000100010000111001100100000010,4,S2,10000011110010101111000011110010
11,S6,00001010000010000000100010001010,9,S9,11010000011101011111101101110100
76,S8,11011000001110101101001000101110,0,S1,00001010000010000000100010110010
6,S8,10000011110010101111000001010111,42,S8,10101101110000101100010000010000
0,S1,00001010000010000000100010110010,100,S1,00111111111101011101100101110001
6,S8,10000011110010101111000001010111,101,S5,01101011000101010110011101011000
23,S10,00001010000010000000100001101110,102,S3,00111111111101011101100010000100
13,S8,11010001100101001100110100101001,1,S6,10000011110010101111000010010110
77,S8,11010001100101001100110100100001,1,S6,10000011110010101111000010010110
23,S10,00001010000010000000100001101110,34,S10,01000000111010011011100000010000
34,S10,01000000111010011011100000010000,21,S2,00001010000010000000100011101010
1,S6,10000011110010101111000010010110,103,S3,11000111011111111100001011010100
78,S5,11000111110101000001100010101110,1,S6,10000011110010101111000010010110
0,S1,00001010000010000000100010110010,100,S1,00111111111101011101100101110001
35,S7,10101101110000100100001110111101,0,S1,00001010000010000000100010110010
79,S1,01000000000001000001011110100010,14,S4,00001010000000000000001000001111
21,S2,00001010000010000000100011101010,47,S9,10101101110000100100001100010000
0,S1,00001010000010000000100010110010,104,S10,00010111010000111111111111010001
80,S5,11000111000100001001110011001001,1,S6,10000011110010101111000010010110
81,S4,01001101011001111100010100100011,5,S2,00001010000010000000100010000010
0,S1,00001010000010000000100010110010,54,S9,11011000001110101101001000100011
82,S8,00010111110000001010001010111010,0,S1,00001010000010000000100010110010
5,S2,00001010000010000000100010000010,81,S4,01001101011001111100010100100011
9,S9,11010000011101011111101101110100,11,S6,00001010000010000000100010001010
0,S1,00001010000010000000100010110010,44,S10,01010110000001001101010011100100
21,S2,00001010000010000000100011101010,47,S9,10101101110000100100001100010000
83,S4,11011000001110101101000000100101,0,S1,00001010000010000000100010110010
84,S5,10111000000111010110100101101010,1,S6,10000011110010101111000010010110
10,S6,01001010011111011100111100010000,14,S4,00001010000000000000001000001111
0,S1,00001010000010000000100010110010,36,S5,11001101101111000000110001011011
6,S8,10000011110010101111000001010111,42,S8,10101101110000101100010000010000
54,S9,11011000001110101101001000100011,0,S1,00001010000010000000100010110010
6,S8,10000011110010101111000001010111,43,S7,01001010011111010100010100010000
85,S1,00100110011111001010100001110111,6,S8,10000011110010101111000001010111
14,S4,00001010000000000000001000001111,10,S6,01001010011111011100111100010000
83,S4,11011000001110101101000000100101,0,S1,00001010000010000000100010110010
4,S2,10000011110010101111000011110010,105,S8,01001010011111011100000100010000
21,S2,00001010000010000000100011101010,47,S9,10101101110000100100001100010000
86,S3,10101101110000100111101101100101,1,S6,10000011110010101111000010010110
9,S9,11010000011101011111101101110100,11,S6,00001010000010000000100010001010
18,S8,01001010011111011000010100010000,21,S2,00001010000010000000100011101010
